zip,type,primary_city,state,country,latitude,longitude
49959,PO BOX,Ramsay,MI,US,46.47,-90
49960,PO BOX,Rockland,MI,US,46.73,-89.17
49961,PO BOX,Sidnaw,MI,US,46.5,-88.7
49962,STANDARD,Skanee,MI,US,46.89,-88.18
49963,PO BOX,South Range,MI,US,47.07,-88.64
49964,PO BOX,Stambaugh,MI,US,46.07,-88.63
49965,STANDARD,Toivola,MI,US,47,-88.75
49967,STANDARD,Trout Creek,MI,US,46.48,-89.02
49968,STANDARD,Wakefield,MI,US,46.47,-89.93
49969,STANDARD,Watersmeet,MI,US,46.27,-89.18
49970,STANDARD,Watton,MI,US,46.53,-88.6
49971,PO BOX,White Pine,MI,US,46.75,-89.58
50001,STANDARD,Ackworth,IA,US,41.36,-93.47
50002,STANDARD,Adair,IA,US,41.5,-94.64
50003,STANDARD,Adel,IA,US,41.61,-94.02
50005,STANDARD,Albion,IA,US,42.11,-92.98
50006,STANDARD,Alden,IA,US,42.51,-93.37
50007,STANDARD,Alleman,IA,US,41.81,-93.61
50008,STANDARD,Allerton,IA,US,40.7,-93.36
50009,STANDARD,Altoona,IA,US,41.65,-93.47
50010,STANDARD,Ames,IA,US,42.02,-93.62
50011,UNIQUE,Ames,IA,US,42.02,-93.64
50012,UNIQUE,Ames,IA,US,42.03,-93.65
50013,UNIQUE,Ames,IA,US,42.02,-93.62
50014,STANDARD,Ames,IA,US,42.05,-93.69
50020,STANDARD,Anita,IA,US,41.44,-94.76
50021,STANDARD,Ankeny,IA,US,41.72,-93.6
50022,STANDARD,Atlantic,IA,US,41.39,-95.01
50023,STANDARD,Ankeny,IA,US,41.71,-93.62
50025,STANDARD,Audubon,IA,US,41.71,-94.92
50026,STANDARD,Bagley,IA,US,41.84,-94.42
50027,STANDARD,Barnes City,IA,US,41.5,-92.46
50028,STANDARD,Baxter,IA,US,41.82,-93.15
50029,STANDARD,Bayard,IA,US,41.85,-94.55
50031,PO BOX,Beaver,IA,US,42.03,-94.14
50032,PO BOX,Berwick,IA,US,41.67,-93.54
50033,STANDARD,Bevington,IA,US,41.36,-93.79
50034,STANDARD,Blairsburg,IA,US,42.47,-93.64
50035,STANDARD,Bondurant,IA,US,41.68,-93.46
50036,STANDARD,Boone,IA,US,42.05,-93.87
50037,PO BOX,Boone,IA,US,42.05,-93.87
50038,STANDARD,Booneville,IA,US,41.53,-93.9
50039,STANDARD,Bouton,IA,US,41.85,-94.01
50040,PO BOX,Boxholm,IA,US,42.17,-94.1
50041,PO BOX,Bradford,IA,US,42.64,-93.25
50042,STANDARD,Brayton,IA,US,41.54,-94.92
50043,PO BOX,Buckeye,IA,US,42.41,-93.37
50044,STANDARD,Bussey,IA,US,41.2,-92.88
50046,STANDARD,Cambridge,IA,US,41.89,-93.53
50047,STANDARD,Carlisle,IA,US,41.51,-93.48
50048,STANDARD,Casey,IA,US,41.5,-94.52
50049,STANDARD,Chariton,IA,US,41.01,-93.3
50050,STANDARD,Churdan,IA,US,42.15,-94.47
50051,STANDARD,Clemons,IA,US,42.11,-93.15
50052,STANDARD,Clio,IA,US,40.63,-93.45
50054,STANDARD,Colfax,IA,US,41.67,-93.24
50055,STANDARD,Collins,IA,US,41.9,-93.3
50056,STANDARD,Colo,IA,US,42.01,-93.31
50057,STANDARD,Columbia,IA,US,41.18,-93.15
50058,STANDARD,Coon Rapids,IA,US,41.87,-94.67
50059,STANDARD,Cooper,IA,US,41.89,-94.33
50060,STANDARD,Corydon,IA,US,40.75,-93.31
50061,STANDARD,Cumming,IA,US,41.48,-93.76
50062,STANDARD,Melcher-dallas,IA,US,41.2,-93.27
50063,STANDARD,Dallas Center,IA,US,41.68,-93.98
50064,STANDARD,Dana,IA,US,42.11,-94.24
50065,STANDARD,Davis City,IA,US,40.64,-93.81
50066,STANDARD,Dawson,IA,US,41.84,-94.21
50067,STANDARD,Decatur,IA,US,40.72,-93.86
50068,STANDARD,Derby,IA,US,40.92,-93.45
50069,STANDARD,De Soto,IA,US,41.52,-94.03
50070,STANDARD,Dexter,IA,US,41.51,-94.22
50071,STANDARD,Dows,IA,US,42.65,-93.5
50072,STANDARD,Earlham,IA,US,41.49,-94.12
50073,STANDARD,Elkhart,IA,US,41.79,-93.51
50074,STANDARD,Ellston,IA,US,40.84,-94.1
50075,STANDARD,Ellsworth,IA,US,42.31,-93.58
50076,STANDARD,Exira,IA,US,41.59,-94.87
50078,PO BOX,Ferguson,IA,US,41.94,-92.86
50099,STANDARD,Boone,IA,US,42.05,-93.88
50101,STANDARD,Galt,IA,US,42.69,-93.6
50102,PO BOX,Garden City,IA,US,42.25,-93.4
50103,STANDARD,Garden Grove,IA,US,40.82,-93.6
50104,STANDARD,Gibson,IA,US,41.48,-92.39
50105,STANDARD,Gilbert,IA,US,42.1,-93.64
50106,STANDARD,Gilman,IA,US,41.87,-92.78
50107,STANDARD,Grand Junction,IA,US,42.03,-94.23
50108,STANDARD,Grand River,IA,US,40.81,-93.96
50109,STANDARD,Granger,IA,US,41.76,-93.82
50110,PO BOX,Gray,IA,US,41.84,-94.98
50111,STANDARD,Grimes,IA,US,41.66,-93.78
50112,STANDARD,Grinnell,IA,US,41.74,-92.72
50115,STANDARD,Guthrie Center,IA,US,41.67,-94.49
50116,STANDARD,Hamilton,IA,US,41.18,-92.97
50117,STANDARD,Hamlin,IA,US,41.64,-94.91
50118,STANDARD,Hartford,IA,US,41.45,-93.4
50119,STANDARD,Harvey,IA,US,41.31,-92.92
50120,STANDARD,Haverhill,IA,US,41.93,-92.98
50122,STANDARD,Hubbard,IA,US,42.3,-93.3
50123,STANDARD,Humeston,IA,US,40.86,-93.49
50124,STANDARD,Huxley,IA,US,41.89,-93.6
50125,STANDARD,Indianola,IA,US,41.36,-93.56
50126,STANDARD,Iowa Falls,IA,US,42.52,-93.26
50127,STANDARD,Ira,IA,US,41.78,-93.21
50128,STANDARD,Jamaica,IA,US,41.84,-94.3
50129,STANDARD,Jefferson,IA,US,42.01,-94.37
50130,STANDARD,Jewell,IA,US,42.31,-93.63
50131,STANDARD,Johnston,IA,US,41.68,-93.7
50132,STANDARD,Kamrar,IA,US,42.39,-93.72
50133,STANDARD,Kellerton,IA,US,40.71,-94.04
50134,STANDARD,Kelley,IA,US,41.95,-93.66
50135,STANDARD,Kellogg,IA,US,41.71,-92.9
50136,STANDARD,Keswick,IA,US,41.47,-92.29
50137,PO BOX,Killduff,IA,US,41.64,-92.9
50138,STANDARD,Knoxville,IA,US,41.31,-93.1
50139,STANDARD,Lacona,IA,US,41.18,-93.38
50140,STANDARD,Lamoni,IA,US,40.62,-93.93
50141,STANDARD,Laurel,IA,US,41.88,-92.92
50142,PO BOX,Le Grand,IA,US,42,-92.77
50143,STANDARD,Leighton,IA,US,41.33,-92.78
50144,STANDARD,Leon,IA,US,40.74,-93.75
50145,PO BOX,Liberty Center,IA,US,41.2,-93.49
50146,STANDARD,Linden,IA,US,41.64,-94.27
50147,STANDARD,Lineville,IA,US,40.63,-93.55
50148,STANDARD,Liscomb,IA,US,42.19,-93
50149,STANDARD,Lorimor,IA,US,41.12,-94.05
50150,STANDARD,Lovilia,IA,US,41.13,-92.9
50151,STANDARD,Lucas,IA,US,41.03,-93.46
50152,PO BOX,Luther,IA,US,41.96,-93.81
50153,STANDARD,Lynnville,IA,US,41.57,-92.78
50154,STANDARD,Mc Callsburg,IA,US,42.16,-93.39
50155,STANDARD,Macksburg,IA,US,41.21,-94.18
50156,STANDARD,Madrid,IA,US,41.87,-93.81
50157,STANDARD,Malcom,IA,US,41.7,-92.55
50158,STANDARD,Marshalltown,IA,US,42.03,-92.91
50160,PO BOX,Martensdale,IA,US,41.37,-93.74
50161,STANDARD,Maxwell,IA,US,41.89,-93.39
50162,STANDARD,Melbourne,IA,US,41.94,-93.1
50163,PO BOX,Melcher-dallas,IA,US,41.22,-93.24
50164,STANDARD,Menlo,IA,US,41.52,-94.4
50165,STANDARD,Millerton,IA,US,40.84,-93.28
50166,STANDARD,Milo,IA,US,41.28,-93.43
50167,STANDARD,Minburn,IA,US,41.75,-94.02
50168,STANDARD,Mingo,IA,US,41.76,-93.28
50169,STANDARD,Mitchellville,IA,US,41.66,-93.36
50170,STANDARD,Monroe,IA,US,41.52,-93.1
50171,STANDARD,Montezuma,IA,US,41.58,-92.52
50173,STANDARD,Montour,IA,US,41.98,-92.71
50174,STANDARD,Murray,IA,US,41.04,-93.94
50201,STANDARD,Nevada,IA,US,42.01,-93.45
50206,STANDARD,New Providence,IA,US,42.28,-93.17
50207,STANDARD,New Sharon,IA,US,41.47,-92.65
50208,STANDARD,Newton,IA,US,41.69,-93.04
50210,STANDARD,New Virginia,IA,US,41.18,-93.73
50211,STANDARD,Norwalk,IA,US,41.49,-93.68
50212,STANDARD,Ogden,IA,US,42.03,-94.02
50213,STANDARD,Osceola,IA,US,41.03,-93.77
50214,STANDARD,Otley,IA,US,41.45,-93.03
50216,STANDARD,Panora,IA,US,41.69,-94.36
50217,STANDARD,Paton,IA,US,42.16,-94.25
50218,PO BOX,Patterson,IA,US,41.35,-93.88
50219,STANDARD,Pella,IA,US,41.4,-92.91
50220,STANDARD,Perry,IA,US,41.84,-94.09
50222,STANDARD,Peru,IA,US,41.2,-93.95
50223,STANDARD,Pilot Mound,IA,US,42.15,-94.01
50225,STANDARD,Pleasantville,IA,US,41.38,-93.26
50226,STANDARD,Polk City,IA,US,41.77,-93.71
50227,STANDARD,Popejoy,IA,US,42.6,-93.43
50228,STANDARD,Prairie City,IA,US,41.59,-93.23
50229,STANDARD,Prole,IA,US,41.38,-93.73
50230,STANDARD,Radcliffe,IA,US,42.31,-93.43
50231,PO BOX,Randall,IA,US,42.24,-93.6
